set_idx,option,opt_type,barrier,S0,K,r,kappa,long_var,xi,corr,v0,T,mc_1k_delta,mc_10k_delta,mc_100k_delta,cvae_1k_delta,cvae_10k_delta,cvae_100k_delta,mc_1k_n_paths,mc_10k_n_paths,mc_reference_n_paths,mc_dt,mc_seed,cvae_1k_n_samples,cvae_10k_n_samples,cvae_100k_n_samples,cvae_seed,delta_h,rho_h,v0_h,theta_h,mc_1k_abs_error,mc_10k_abs_error,cvae_1k_abs_error,cvae_10k_abs_error,cvae_100k_abs_error
0,van_call,call,,1.0,1.0,0.01915194503788923,2.292825616732376,0.031863598363651886,0.22418470839692672,-0.5778913460552227,0.10040759068816078,2.433,0.6457991597193402,0.6533785261701203,0.6530659631532848,0.6694319058086928,0.6611414676123084,0.657883036679402,1000,10000,100000,0.001,1234,1000,10000,100000,1234,0.01,0.0001915194503788923,0.001004075906881608,0.024329999999999997,0.007266803433944591,0.0003125630168354654,0.016365942655408028,0.008075504459023608,0.004817073526117155
0,van_put,put,,1.0,1.0,0.01915194503788923,2.292825616732376,0.031863598363651886,0.22418470839692672,-0.5778913460552227,0.10040759068816078,2.433,-0.3560457705607839,-0.3456827553309616,-0.3468712607963831,-0.3358018595028933,-0.341199391318861,-0.34345227416378715,1000,10000,100000,0.001,1234,1000,10000,100000,1234,0.01,0.0001915194503788923,0.001004075906881608,0.024329999999999997,0.009174509764400818,0.0011885054654214855,0.011069401293489767,0.0056718694775220735,0.003418986632595933
0,barr_call,call,0.8,1.0,1.0,0.01915194503788923,2.292825616732376,0.031863598363651886,0.22418470839692672,-0.5778913460552227,0.10040759068816078,2.433,0.7395018788688285,0.7242229418645163,0.7266283764023773,0.6495058397370967,0.6940500555326884,0.720160171231643,1000,10000,100000,0.001,1234,1000,10000,100000,1234,0.01,0.0001915194503788923,0.001004075906881608,0.024329999999999997,0.012873502466451137,0.0024054345378610176,0.07712253666528057,0.032578320869688926,0.00646820517073432
0,barr_put,put,0.8,1.0,1.0,0.01915194503788923,2.292825616732376,0.031863598363651886,0.22418470839692672,-0.5778913460552227,0.10040759068816078,2.433,0.010739936506996926,0.01459729201794234,0.004701618939326278,-0.016530830107976558,0.011153476811808904,0.017386194895511933,1000,10000,100000,0.001,1234,1000,10000,100000,1234,0.01,0.0001915194503788923,0.001004075906881608,0.024329999999999997,0.006038317567670648,0.009895673078616062,0.021232449047302836,0.006451857872482626,0.012684575956185655
1,van_call,call,,1.0,1.0,0.06221087710398319,1.9897399602520602,0.09951352062593716,0.46252850284369484,-0.1366850522396228,0.16343306103526367,0.779,0.6289468906444523,0.6354883520960836,0.6393098625137122,0.6537565491179953,0.6412269510981367,0.641787702425789,1000,10000,100000,0.001,1334,1000,10000,100000,1334,0.01,0.0006221087710398319,0.0016343306103526367,0.00779,0.01036297186925994,0.003821510417628682,0.014446686604283054,0.001917088584424409,0.002477839912076729
1,van_put,put,,1.0,1.0,0.06221087710398319,1.9897399602520602,0.09951352062593716,0.46252850284369484,-0.1366850522396228,0.16343306103526367,0.779,-0.3655838571249584,-0.3631606458309483,-0.35996716458056993,-0.35002310815481635,-0.3576429379045981,-0.3579297018746874,1000,10000,100000,0.001,1334,1000,10000,100000,1334,0.01,0.0006221087710398319,0.0016343306103526367,0.00779,0.0056166925443884574,0.0031934812503783827,0.009944056425753578,0.002324226675971819,0.002037462705882509
1,barr_call,call,0.8,1.0,1.0,0.06221087710398319,1.9897399602520602,0.09951352062593716,0.46252850284369484,-0.1366850522396228,0.16343306103526367,0.779,0.7021354433081828,0.6953707500212292,0.7156170709939819,0.7603858984120471,0.6467109571201973,0.698223419588867,1000,10000,100000,0.001,1334,1000,10000,100000,1334,0.01,0.0006221087710398319,0.0016343306103526367,0.00779,0.01348162768579908,0.020246320972752696,0.044768827418065205,0.06890611387378454,0.01739365140511484
1,barr_put,put,0.8,1.0,1.0,0.06221087710398319,1.9897399602520602,0.09951352062593716,0.46252850284369484,-0.1366850522396228,0.16343306103526367,0.779,-0.009026067365979374,0.017998959788286754,0.008561118376498693,0.01352351200282001,0.014898062567370637,0.024835117324839128,1000,10000,100000,0.001,1334,1000,10000,100000,1334,0.01,0.0006221087710398319,0.0016343306103526367,0.00779,0.017587185742478067,0.009437841411788061,0.004962393626321317,0.006336944190871944,0.016273998948340435
2,van_call,call,,1.0,1.0,0.04377277390071145,0.8268381202559041,0.13300874868920784,0.9381673831261723,-0.7649567738574891,0.009437777435456885,1.26,0.7824738763979197,0.792231771400649,0.7868392807551888,0.8072156133765204,0.7832894961007669,0.7831012402714332,1000,10000,100000,0.001,1434,1000,10000,100000,1434,0.01,0.0004377277390071145,9.437777435456885e-05,0.0126,0.004365404357269176,0.005392490645460213,0.02037633262133154,0.003549784654421906,0.003738040483755589
2,van_put,put,,1.0,1.0,0.04377277390071145,0.8268381202559041,0.13300874868920784,0.9381673831261723,-0.7649567738574891,0.009437777435456885,1.26,-0.21469016871582952,-0.21115771229006305,-0.21335455103519696,-0.19105710427779476,-0.2133911554013504,-0.21304214178516911,1000,10000,100000,0.001,1434,1000,10000,100000,1434,0.01,0.0004377277390071145,9.437777435456885e-05,0.0126,0.0013356176806325615,0.0021968387451339055,0.022297446757402195,3.660436615343654e-05,0.00031240925002784525
2,barr_call,call,0.8,1.0,1.0,0.04377277390071145,0.8268381202559041,0.13300874868920784,0.9381673831261723,-0.7649567738574891,0.009437777435456885,1.26,0.8155609143022963,0.8167844502490237,0.7980254545958617,0.7741587358390519,0.8000076008548601,0.7949641778315364,1000,10000,100000,0.001,1434,1000,10000,100000,1434,0.01,0.0004377277390071145,9.437777435456885e-05,0.0126,0.017535459706434553,0.01875899565316197,0.02386671875680979,0.0019821462589983962,0.003061276764325327
2,barr_put,put,0.8,1.0,1.0,0.04377277390071145,0.8268381202559041,0.13300874868920784,0.9381673831261723,-0.7649567738574891,0.009437777435456885,1.26,-0.03866187755013108,-0.021320052771098448,-0.016908402814299478,-0.009639011340278154,-0.016364199659199812,-0.01507945938569585,1000,10000,100000,0.001,1434,1000,10000,100000,1434,0.01,0.0004377277390071145,9.437777435456885e-05,0.0126,0.0217534747358316,0.00441164995679897,0.007269391474021324,0.0005442031550996658,0.0018289434286036278
3,van_call,call,,1.0,1.0,0.07853585837137693,1.186376668088441,0.0022139310373719408,0.705846506786411,-0.43624933657016196,0.04268797260030527,1.5310000000000001,0.8490892465882638,0.8606306822373344,0.8591388832151103,0.8427049411050269,0.8328916504230788,0.832081693887729,1000,10000,100000,0.001,1534,1000,10000,100000,1534,0.01,0.0007853585837137693,0.00042687972600305267,0.015310000000000002,0.010049636626846548,0.0014917990222240718,0.01643394211008342,0.02624723279203156,0.027057189327381326
3,van_put,put,,1.0,1.0,0.07853585837137693,1.186376668088441,0.0022139310373719408,0.705846506786411,-0.43624933657016196,0.04268797260030527,1.5310000000000001,-0.14647105923807843,-0.13993519954871683,-0.14062424730575082,-0.14883843214131137,-0.15788305689432292,-0.15788569949313283,1000,10000,100000,0.001,1534,1000,10000,100000,1534,0.01,0.0007853585837137693,0.00042687972600305267,0.015310000000000002,0.005846811932327611,0.0006890477570339892,0.00821418483556055,0.017258809588572094,0.01726145218738201
3,barr_call,call,0.8,1.0,1.0,0.07853585837137693,1.186376668088441,0.0022139310373719408,0.705846506786411,-0.43624933657016196,0.04268797260030527,1.5310000000000001,0.8948732577102325,0.8684401489133936,0.8832148391365591,0.8130430907591163,0.9049566412786314,0.8732533833517853,1000,10000,100000,0.001,1534,1000,10000,100000,1534,0.01,0.0007853585837137693,0.00042687972600305267,0.015310000000000002,0.011658418573673446,0.014774690223165465,0.07017174837744278,0.02174180214207233,0.00996145578477381
3,barr_put,put,0.8,1.0,1.0,0.07853585837137693,1.186376668088441,0.0022139310373719408,0.705846506786411,-0.43624933657016196,0.04268797260030527,1.5310000000000001,-0.009411402526428563,-0.022195130382519305,-0.017488927242839247,-0.028244426409050657,-0.01130334479548566,-0.021863520611491636,1000,10000,100000,0.001,1534,1000,10000,100000,1534,0.01,0.0007853585837137693,0.00042687972600305267,0.015310000000000002,0.008077524716410683,0.004706203139680058,0.010755499166211411,0.006185582447353587,0.004374593368652389
4,van_call,call,,1.0,1.0,0.07799758081188035,1.8639363603367518,0.11467989166835264,0.4773068338349076,-0.9734397490630055,0.020522383468282862,1.555,0.7580975621462177,0.7720853867225486,0.7666258805635845,0.7711752207652967,0.7713560492054045,0.768923444715508,1000,10000,100000,0.001,1634,1000,10000,100000,1634,0.01,0.0007799758081188036,0.00020522383468282862,0.01555,0.008528318417366787,0.005459506158964067,0.00454934020171216,0.004730168641819965,0.0022975641519235035
4,van_put,put,,1.0,1.0,0.07799758081188035,1.8639363603367518,0.11467989166835264,0.4773068338349076,-0.9734397490630055,0.020522383468282862,1.555,-0.2419142472708788,-0.22963132080506543,-0.23317261687540308,-0.22566597375871938,-0.22845033576166796,-0.23037873248425988,1000,10000,100000,0.001,1634,1000,10000,100000,1634,0.01,0.0007799758081188036,0.00020522383468282862,0.01555,0.008741630395475708,0.0035412960703376517,0.007506643116683698,0.004722281113735127,0.0027938843911431976
4,barr_call,call,0.8,1.0,1.0,0.07799758081188035,1.8639363603367518,0.11467989166835264,0.4773068338349076,-0.9734397490630055,0.020522383468282862,1.555,0.8493722496579814,0.8249541759429047,0.86172036850162,0.887333075094493,0.8813670564866094,0.865493751225907,1000,10000,100000,0.001,1634,1000,10000,100000,1634,0.01,0.0007799758081188036,0.00020522383468282862,0.01555,0.012348118843638622,0.03676619255871538,0.025612706592872958,0.019646687984989364,0.0037733827242869555
4,barr_put,put,0.8,1.0,1.0,0.07799758081188035,1.8639363603367518,0.11467989166835264,0.4773068338349076,-0.9734397490630055,0.020522383468282862,1.555,-0.008232452956691803,-0.0019047756689729873,0.0008461921125451494,0.028769437719352663,0.02312073507628378,0.004188030395062834,1000,10000,100000,0.001,1634,1000,10000,100000,1634,0.01,0.0007799758081188036,0.00020522383468282862,0.01555,0.009078645069236953,0.0027509677815181367,0.027923245606807513,0.022274542963738632,0.0033418382825176843
5,van_call,call,,1.0,1.0,0.027259260528264162,1.7970848823420655,0.06041869923889445,0.611799950856493,-0.6199485458633417,0.0017125253846547242,1.067,0.6979611600206048,0.7021815449687635,0.7030428617088025,0.7029903020011066,0.6997293111871569,0.706466231623698,1000,10000,100000,0.001,1734,1000,10000,100000,1734,0.01,0.0002725926052826416,1.7125253846547243e-05,0.010669999999999999,0.0050817016881976595,0.0008613167400389754,5.255970769590945e-05,0.003313550521645614,0.0034233699148955576
