set_idx,option,opt_type,barrier,S0,K,r,sigma,T,closed_form_delta,mc_1k_delta,mc_10k_delta,mc_100k_delta,cvae_1k_delta,cvae_10k_delta,cvae_100k_delta,mc_1k_n_paths,mc_10k_n_paths,mc_100k_n_paths,mc_dt,mc_seed,cvae_1k_n_samples,cvae_10k_n_samples,cvae_100k_n_samples,cvae_seed,delta_h,rho_h,vega_h,theta_h,mc_1k_abs_error,mc_10k_abs_error,mc_100k_abs_error,cvae_1k_abs_error,cvae_10k_abs_error,cvae_100k_abs_error
0,van_call,call,,1.0,1.0,0.01915194503788923,0.767349511751093,2.939,0.758205252935355,0.7121062486376062,0.7470304035897712,0.7521553723357277,0.7457469451949139,0.7760760159563507,0.7820539360897216,1000,10000,100000,0.001,1234,1000,10000,100000,1234,0.01,0.0001915194503788923,0.0076734951175109305,0.02939,0.046099004297748825,0.01117484934558377,0.0060498805996273,0.012458307740441099,0.01787076302099566,0.023848683154366612
0,van_put,put,,1.0,1.0,0.01915194503788923,0.767349511751093,2.939,-0.241794747064645,-0.2287387644099359,-0.23893820065691296,-0.24152799558343485,-0.25416302184356754,-0.23948866464532093,-0.23773078426680416,1000,10000,100000,0.001,1234,1000,10000,100000,1234,0.01,0.0001915194503788923,0.0076734951175109305,0.02939,0.013055982654709086,0.00285654640773203,0.0002667514812101368,0.01236827477892255,0.0023060824193240625,0.0040639627978408255
0,barr_call,call,0.8,1.0,1.0,0.01915194503788923,0.767349511751093,2.939,0.9760013222357061,0.6485654201797697,0.8114014991009805,0.9416554075369593,3.5221147621567637,1.2152798931250042,0.9006024026741055,1000,10000,100000,0.001,1234,1000,10000,100000,1234,0.01,0.0001915194503788923,0.0076734951175109305,0.02939,0.3274359020559364,0.16459982313472565,0.034345914698746816,2.5461134399210574,0.23927857088929805,0.07539891956160061
0,barr_put,put,0.8,1.0,1.0,0.01915194503788923,0.767349511751093,2.939,0.0005332465281324139,-0.0010861950440865997,0.0002393544308902098,0.0007582177571442423,0.00789735551136203,0.001190435086936904,0.0008551033713827919,1000,10000,100000,0.001,1234,1000,10000,100000,1234,0.01,0.0001915194503788923,0.0076734951175109305,0.02939,0.0016194415722190136,0.0002938920972422041,0.0002249712290118284,0.007364108983229617,0.00065718855880449,0.000321856843250378
1,van_call,call,,1.0,1.0,0.06221087710398319,0.7084072466156263,2.656,0.7643523568775876,0.7539419116678547,0.7575380523042907,0.7741713546048523,0.8430224137607856,0.7475371034150691,0.7592289760015858,1000,10000,100000,0.001,1334,1000,10000,100000,1334,0.01,0.0006221087710398319,0.007084072466156263,0.02656,0.010410445209732888,0.006814304573296903,0.009818997727264689,0.07867005688319795,0.016815253462518553,0.005123380876001837
1,van_put,put,,1.0,1.0,0.06221087710398319,0.7084072466156263,2.656,-0.23564764312241238,-0.23319650633243927,-0.23159283374049044,-0.23276446995263433,-0.23566399103024382,-0.23603283575747702,-0.23387029406904958,1000,10000,100000,0.001,1334,1000,10000,100000,1334,0.01,0.0006221087710398319,0.007084072466156263,0.02656,0.0024511367899731074,0.004054809381921931,0.0028831731697780416,1.6347907831448794e-05,0.0003851926350646462,0.0017773490533627978
1,barr_call,call,0.8,1.0,1.0,0.06221087710398319,0.7084072466156263,2.656,1.0371565844507018,0.6575925949183103,0.8524288750401121,1.0095271741824812,0.9169505182333892,0.7856455848392896,1.0069284210080964,1000,10000,100000,0.001,1334,1000,10000,100000,1334,0.01,0.0006221087710398319,0.007084072466156263,0.02656,0.37956398953239145,0.1847277094105897,0.027629410268220633,0.12020606621731256,0.2515109996114122,0.03022816344260537
1,barr_put,put,0.8,1.0,1.0,0.06221087710398319,0.7084072466156263,2.656,0.0007440370922331963,-0.0018314519300427652,0.0007258421991204977,0.000906354577601747,0.00527426199919166,0.0017557908529233393,0.0007736317329902693,1000,10000,100000,0.001,1334,1000,10000,100000,1334,0.01,0.0006221087710398319,0.007084072466156263,0.02656,0.0025754890222759617,1.819489311269851e-05,0.00016231748536855073,0.004530224906958463,0.001011753760690143,2.9594640757073026e-05
2,van_call,call,,1.0,1.0,0.04377277390071145,0.7970703165414714,1.92,0.7351034401691037,0.8158015825424858,0.7295562807312028,0.7414614562914479,0.8510600856733053,0.7685258400352613,0.7450522698081441,1000,10000,100000,0.001,1434,1000,10000,100000,1434,0.01,0.0004377277390071145,0.007970703165414714,0.0192,0.08069814237338213,0.00554715943790085,0.006358016122344212,0.1159566455042016,0.03342239986615758,0.009948829639040424
2,van_put,put,,1.0,1.0,0.04377277390071145,0.7970703165414714,1.92,-0.2648965598308963,-0.2546197658977345,-0.26490076139629726,-0.2623445072620523,-0.24665195730998457,-0.2555624336002371,-0.2616096110825805,1000,10000,100000,0.001,1434,1000,10000,100000,1434,0.01,0.0004377277390071145,0.007970703165414714,0.0192,0.010276793933161832,4.201565400929752e-06,0.0025520525688440543,0.018244602520911757,0.009334126230659212,0.00328694874831581
2,barr_call,call,0.8,1.0,1.0,0.04377277390071145,0.7970703165414714,1.92,0.9796379532922089,1.4933807350914041,0.9472398819222655,0.9128520282663116,2.137440230107329,1.0909538357969706,1.0075510105205465,1000,10000,100000,0.001,1434,1000,10000,100000,1434,0.01,0.0004377277390071145,0.007970703165414714,0.0192,0.5137427817991952,0.03239807136994344,0.06678592502589731,1.15780227681512,0.11131588250476165,0.02791305722833759
2,barr_put,put,0.8,1.0,1.0,0.04377277390071145,0.7970703165414714,1.92,0.0009157770736220594,-0.0001449827026418406,-0.0007076707525652308,0.0014123023372604633,0.00585185891131848,0.0023505537772399256,0.0005504026224102378,1000,10000,100000,0.001,1434,1000,10000,100000,1434,0.01,0.0004377277390071145,0.007970703165414714,0.0192,0.0010607597762639,0.00162344782618729,0.0004965252636384039,0.00493608183769642,0.0014347767036178662,0.0003653744512118216
3,van_call,call,,1.0,1.0,0.07853585837137693,0.558203067599022,2.798,0.7587232361435732,0.7899536836672494,0.7635395077729534,0.762718098411802,0.7717101805311821,0.7659495068542077,0.7653370764300782,1000,10000,100000,0.001,1534,1000,10000,100000,1534,0.01,0.0007853585837137693,0.00558203067599022,0.02798,0.031230447523676208,0.004816271629380253,0.0039948622682288715,0.012986944387608945,0.00722627071063453,0.006613840286505024
3,van_put,put,,1.0,1.0,0.07853585837137693,0.558203067599022,2.798,-0.24127676385642682,-0.2197681803156798,-0.23807393739966876,-0.23962491623183424,-0.23607996697054823,-0.23768998914023287,-0.2372091355650363,1000,10000,100000,0.001,1534,1000,10000,100000,1534,0.01,0.0007853585837137693,0.00558203067599022,0.02798,0.02150858354074703,0.0032028264567580678,0.001651847624592584,0.005196796885878596,0.0035867747161939523,0.004067628291390513
3,barr_call,call,0.8,1.0,1.0,0.07853585837137693,0.558203067599022,2.798,1.0754942733840949,0.5246753383760044,1.0151434006894056,1.124783881200736,1.5949195397352371,1.0916237387236098,1.108293329330412,1000,10000,100000,0.001,1534,1000,10000,100000,1534,0.01,0.0007853585837137693,0.00558203067599022,0.02798,0.5508189350080904,0.060350872694689306,0.04928960781664116,0.5194252663511423,0.01612946533951498,0.03279905594631716
3,barr_put,put,0.8,1.0,1.0,0.07853585837137693,0.558203067599022,2.798,0.0013195779571428812,0.014315470248004265,-9.486529344419382e-05,0.000806039387102282,0.013837824128562064,0.0004051221274856706,0.0021200459958733236,1000,10000,100000,0.001,1534,1000,10000,100000,1534,0.01,0.0007853585837137693,0.00558203067599022,0.02798,0.012995892290861384,0.001414443250587075,0.0005135385700405992,0.012518246171419183,0.0009144558296572106,0.0008004680387304424
4,van_call,call,,1.0,1.0,0.07799758081188035,0.9658706954601355,2.202,0.7985535585250202,0.8641829431885628,0.8281118146818978,0.7967967737130377,0.9358484688087532,1.0171949497240984,0.98119266887714,1000,10000,100000,0.001,1634,1000,10000,100000,1634,0.01,0.0007799758081188036,0.009658706954601356,0.02202,0.06562938466354262,0.02955825615687757,0.0017567848119824925,0.13729491028373297,0.21864139119907822,0.18263911035211977
4,van_put,put,,1.0,1.0,0.07799758081188035,0.9658706954601355,2.202,-0.2014464414749798,-0.21432098396121368,-0.20130877013155302,-0.2002456727208224,-0.21050692238103186,-0.20195311778493652,-0.19874795098058784,1000,10000,100000,0.001,1634,1000,10000,100000,1634,0.01,0.0007799758081188036,0.009658706954601356,0.02202,0.012874542486233875,0.00013767134342679288,0.001200768754157422,0.009060480906052049,0.0005066763099567106,0.0026984904943919696
4,barr_call,call,0.8,1.0,1.0,0.07799758081188035,0.9658706954601355,2.202,1.041816398009393,1.1972337850369967,0.8704707097967612,1.044551112305403,0.6895199797623874,1.4302674101721757,1.3500152540232402,1000,10000,100000,0.001,1634,1000,10000,100000,1634,0.01,0.0007799758081188036,0.009658706954601356,0.02202,0.15541738702760366,0.17134568821263185,0.0027347142960099102,0.35229641824700564,0.38845101216278266,0.3081988560138471
4,barr_put,put,0.8,1.0,1.0,0.07799758081188035,0.9658706954601355,2.202,0.0003679451964541669,0.0,0.0012272473761906883,9.014630955093381e-05,-0.001561281260284623,-0.0009303864777720775,0.00022653859000400516,1000,10000,100000,0.001,1634,1000,10000,100000,1634,0.01,0.0007799758081188036,0.009658706954601356,0.02202,0.0003679451964541669,0.0008593021797365214,0.0002777988869032331,0.0019292264567387898,0.0012983316742262445,0.00014140660645016174
5,van_call,call,,1.0,1.0,0.027259260528264162,0.14800974299310418,2.178,0.6484053448632102,0.6566827027389796,0.6562121169185655,0.6568423015377647,0.6486740126251958,0.656152196640919,0.656803053516572,1000,10000,100000,0.001,1734,1000,10000,100000,1734,0.01,0.0002725926052826416,0.0014800974299310418,0.02178,0.008277357875769331,0.007806772055355293,0.008436956674554463,0.00026866776198553044,0.00774685177770873,0.008397708653361757
5,van_put,put,,1.0,1.0,0.027259260528264162,0.14800974299310418,2.178,-0.3515946551367898,-0.345405242197664,-0.34340134704917075,-0.3428035279020462,-0.3495561304944376,-0.3434242442770567,-0.34307915673187567,1000,10000,100000,0.001,1734,1000,10000,100000,1734,0.01,0.0002725926052826416,0.0014800974299310418,0.02178,0.006189412939125782,0.008193308087619033,0.008791127234743568,0.0020385246423521575,0.00817041085973308,0.008515498404914112
5,barr_call,call,0.8,1.0,1.0,0.027259260528264162,0.14800974299310418,2.178,0.6801643816597785,0.6591005241996656,0.6787860565335077,0.6786099494130462,0.683386379326667,0.6763765033325833,0.6751723830070777,1000,10000,100000,0.001,1734,1000,10000,100000,1734,0.01,0.0002725926052826416,0.0014800974299310418,0.02178,0.021063857460112967,0.0013783251262708962,0.0015544322467323513,0.0032219976668884653,0.003787878327195293,0.004991998652700835
