model,variable,value,barr_type,option_type,n_samples,eta,closed,fdm,reference,mc_mean,mc_std,mc_rel_error_pct,cvae_mean,cvae_std,cvae_rel_error_pct,mc_seconds_mean,cvae_seconds_mean,error
bs,r,0.0025,van,call,1000,"(1.0, 1.0, 0.0025, np.float64(0.22360679774997896), 1.5)",0.11059216441232439,0.11057465176451191,0.11059216441232439,0.11034876081707651,0.006662508339614243,0.22009117602617154,0.1111235477518594,0.006544486419607225,0.480489139857896,0.5035422420006944,0.0012853288190672173,
bs,r,0.0025,van,call,10000,"(1.0, 1.0, 0.0025, np.float64(0.22360679774997896), 1.5)",0.11059216441232439,0.11057465176451191,0.11059216441232439,0.11061492290804166,0.0019781022659114615,0.02057875966005988,0.11119721189566946,0.001752484850125433,0.5470979671663277,0.5391126350191189,0.0019390896405093372,
bs,r,0.0025,van,call,100000,"(1.0, 1.0, 0.0025, np.float64(0.22360679774997896), 1.5)",0.11059216441232439,0.11057465176451191,0.11059216441232439,0.11061970444043495,0.0006249150878606133,0.02490233214704399,0.11117113938875216,0.0005844413957983988,0.5235226017181077,0.5139320412813686,0.0038456902821781113,
bs,r,0.0025,van,put,1000,"(1.0, 1.0, 0.0025, np.float64(0.22360679774997896), 1.5)",0.10684918688149547,0.10683167423349431,0.10684918688149547,0.10667397394873068,0.00491920700812941,0.16398153123908704,0.10619545662835699,0.00413370019699061,0.6118252016868674,0.5035422420006944,0.0012853288190672173,
bs,r,0.0025,van,put,10000,"(1.0, 1.0, 0.0025, np.float64(0.22360679774997896), 1.5)",0.10684918688149547,0.10683167423349431,0.10684918688149547,0.10676640720347813,0.0014457710488258626,0.07747338134557001,0.10628375550261515,0.0013665321235011884,0.5291864125343612,0.5391126350191189,0.0019390896405093372,
bs,r,0.0025,van,put,100000,"(1.0, 1.0, 0.0025, np.float64(0.22360679774997896), 1.5)",0.10684918688149547,0.10683167423349431,0.10684918688149547,0.10685584643566731,0.00045133948113513107,0.006232667150968114,0.10620161879983193,0.0004818305215506499,0.606058034285038,0.5139320412813686,0.0038456902821781113,
bs,r,0.0025,barr,call,1000,"(1.0, 1.0, 0.0025, np.float64(0.22360679774997896), 1.5)",0.10464998965748554,0.10463176825974499,0.10464998965748554,0.10442119675527445,0.006377533963827657,0.21862677957247525,0.10562023219501002,0.006237101215717371,0.9271310400507801,0.5035422420006944,0.0012853288190672173,
bs,r,0.0025,barr,call,10000,"(1.0, 1.0, 0.0025, np.float64(0.22360679774997896), 1.5)",0.10464998965748554,0.10463176825974499,0.10464998965748554,0.10467344931689475,0.0019584225997088924,0.022417259176033936,0.10564267352039375,0.001736387171344308,0.9485752135831247,0.5391126350191189,0.0019390896405093372,
bs,r,0.0025,barr,call,100000,"(1.0, 1.0, 0.0025, np.float64(0.22360679774997896), 1.5)",0.10464998965748554,0.10463176825974499,0.10464998965748554,0.10469739572513859,0.0006194470555280862,0.04529963911913177,0.1056552327173578,0.0005854067855427976,0.9605763585475504,0.5139320412813686,0.0038456902821781113,
bs,r,0.0025,barr,put,1000,"(1.0, 1.0, 0.0025, np.float64(0.22360679774997896), 1.5)",0.010501608102948007,0.010482353903678555,0.010501608102948007,0.010755059973606642,0.0009860123455063402,2.4134577121335026,0.010874375866562723,0.0009164326151140338,3.5496255426830574,0.5035422420006944,0.0012853288190672173,
bs,r,0.0025,barr,put,10000,"(1.0, 1.0, 0.0025, np.float64(0.22360679774997896), 1.5)",0.010501608102948007,0.010482353903678555,0.010501608102948007,0.010587697104806811,0.00036758243671758406,0.819769705885684,0.010980995432278715,0.00031251512279358435,4.564894486932289,0.5391126350191189,0.0019390896405093372,
