model,variable,value,barr_type,option_type,n_samples,eta,closed,fdm,reference,mc_mean,mc_std,mc_rel_error_pct,cvae_mean,cvae_std,cvae_rel_error_pct,mc_seconds_mean,cvae_seconds_mean,error
hes,r,0.0025,van,call,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.10169903052401999,0.10169903052401999,0.10150397212194914,0.005287910276227143,0.19179966718048166,0.10073167389034841,0.0038344385250658627,0.9511955312524822,0.791322194460663,0.0019874684200021876,
hes,r,0.0025,van,call,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.10169903052401999,0.10169903052401999,0.10126456177636277,0.0014359099065276554,0.42721031402025544,0.10185641900952527,0.001408463558016964,0.15475908147237458,0.7804822060780134,0.01086075601999255,
hes,r,0.0025,van,call,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.10169903052401999,0.10169903052401999,0.10153501481173648,0.000422119397691802,0.161275590768562,0.1014924131020562,0.0004304587486442034,0.20316557679966196,0.8412596756609855,0.10475758465999661,
hes,r,0.0025,van,put,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.09795605299435405,0.09795605299435405,0.0969655948105852,0.004430012553114352,1.0111250438254538,0.10026005719070791,0.004580237875331508,2.3520794539227294,0.791322194460663,0.0019874684200021876,
hes,r,0.0025,van,put,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.09795605299435405,0.09795605299435405,0.09825050649975785,0.0018010623189026174,0.30059756023527595,0.09844596105743171,0.0016718463607844206,0.5001304647359592,0.7804822060780134,0.01086075601999255,
hes,r,0.0025,van,put,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.09795605299435405,0.09795605299435405,0.09781361067494031,0.00046233726570463706,0.1454145150396659,0.0986773025046864,0.00047667118539286503,0.7362990731914485,0.8412596756609855,0.10475758465999661,
hes,r,0.0025,barr,call,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0944377236387608,0.0944377236387608,0.09430389449437927,0.005255283775041424,0.14171153139336587,0.09415689538476131,0.004103068198054178,0.2973687242544064,0.791322194460663,0.0019874684200021876,
hes,r,0.0025,barr,call,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0944377236387608,0.0944377236387608,0.09408363094239278,0.0014157420492161756,0.3749483603845425,0.09483456426733,0.0014856084975231293,0.42021409800937615,0.7804822060780134,0.01086075601999255,
hes,r,0.0025,barr,call,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0944377236387608,0.0944377236387608,0.09428565217496863,0.0004224060940419573,0.16102830302629745,0.0945933806257453,0.0004156942409086673,0.16482500952681867,0.8412596756609855,0.10475758465999661,
hes,r,0.0025,barr,put,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.006605920726625275,0.006605920726625275,0.006604982990052044,0.0007580575486414921,0.014195395495000877,0.00698410540169462,0.0008582292884745997,5.72493511078729,0.791322194460663,0.0019874684200021876,
hes,r,0.0025,barr,put,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.006605920726625275,0.006605920726625275,0.006592857375880802,0.00025838231958096757,0.1977521572703882,0.006827243703783337,0.00026408941902596867,3.3503728899745386,0.7804822060780134,0.01086075601999255,
